StudyName;Sample;Domain;StudyType;Task;Stimulus;MeasureType;M.Mono;SD.Mono;N.Mono;M.Biling;SD.Biling;N.Biling;g;vg
Kramer & Mota (2015);4;Inhibition;Peer;Simon;NV;RT;40,18;81,64;14;-4,18;48,88;14;0,64;0,15
Kramer & Mota (2015);4;Monitoring;Peer;Simon;NV;RT;486,8;103,1;14;433,1;83,7;14;0,56;0,15
Kramer & Mota (2015);4;WM;Peer;LNS;V;O;32,14;8,8;14;27,93;8,9;14;0,46;0,15
Lourtie & Coen (2015);1;Inhibition;Other;GoNogo;NV;ACC;0,99;0,02;18;0,99;0,02;19;0,00;0,11
Lourtie & Coen (2015);1;Monitoring;Other;Flanker;NV;RT;683,71;18,31;18;666,81;17,83;19;0,92;0,12
Lourtie & Coen (2015);2;Inhibition;Other;GoNogo;NV;ACC;0,99;0,02;18;0,99;0,02;17;0,00;0,11
Lourtie & Coen (2015);2;Monitoring;Other;Flanker;NV;RT;683,71;18,31;18;636,1;18,85;17;2,50;0,21
Moradzadeh et al. (2015);1;Monitoring;Peer;Task Switching;V;RT;467,2;221;36;488,5;203;36;-0,10;0,06
Moradzadeh et al. (2015);1;Shifting;Peer;Task Switching;V;RT;28,2;147;36;29,9;151;36;-0,01;0,06
Moradzadeh et al. (2015);1;WM;Peer;N-back;V;ACC;42,9;13;9;41,5;13;10;0,10;0,21
Moradzadeh et al. (2015);1;WM;Peer;N-back;NV;ACC;20,5;21;9;27,5;18;10;-0,34;0,21
Moradzadeh et al. (2015);2;Monitoring;Peer;Task Switching;V;RT;336,5;191;45;393,6;190;36;-0,30;0,05
Moradzadeh et al. (2015);2;Shifting;Peer;Task Switching;V;RT;99;127;45;80,6;140;36;0,14;0,05
Moradzadeh et al. (2015);2;WM;Peer;N-back;V;ACC;38,3;24;19;45,7;16;10;-0,33;0,15
Moradzadeh et al. (2015);2;WM;Peer;N-back;NV;ACC;20,4;22;19;25,8;18;10;-0,25;0,15
Morales et al. (2015);1;WM;Peer;Complex Span;V;O;4,3;1,2;27;4,4;1,2;25;-0,08;0,08
Olsen et al. (2015);1;Fluency;Peer;Category Fluency;V;O;20,1;3,1;14;18,4;3,3;13;0,51;0,15
Olsen et al. (2015);1;Fluency;Peer;Letter Fluency;V;O;15,4;5,7;14;13,6;4;13;0,36;0,15
Olsen et al. (2015);1;Inhibition;Peer;Stroop;V;RT;37,8;10,2;14;36,4;8,3;13;0,15;0,15
Olsen et al. (2015);1;Shifting;Peer;Trail Making;V;RT;70,9;21,8;14;65,7;22,4;13;0,23;0,15
Ratiu & Azuma  (2015);1;WM;Peer;Complex Span;NV;O;22,44;7,07;53;23,23;6,44;52;-0,12;0,04
Ratiu & Azuma  (2015);1;WM;Peer;Complex Span;V;O;29,87;7,96;53;34,68;6,73;52;-0,79;0,04
Ratiu & Azuma  (2015);1;WM;Peer;Simple Span BW;V;O;35,62;7,37;53;39,47;6,75;52;-0,54;0,04
Rutkoski-Rodrigues & Zimmer (2015);1;Inhibition;Peer;Simon;NV;RT;-54;59,01;39;-41,93;63,14;39;-0,20;0,05
Rutkoski-Rodrigues & Zimmer (2015);1;Monitoring;Peer;Simon;NV;RT;548,04;104,61;39;504,72;103,98;39;0,41;0,05
Sabourin & Vinerte (2015);1;Inhibition;Other;Stroop;V;RT;65,86;67,43;17;62,72;109,72;12;0,04;0,14
Sabourin & Vinerte (2015);1;Monitoring;Other;Stroop;V;RT;774,77;104,87;17;746,06;125,85;12;0,25;0,14
Sabourin & Vinerte (2015);2;Inhibition;Other;Stroop;V;RT;65,86;67,43;17;43,54;42,96;17;0,39;0,12
Sabourin & Vinerte (2015);2;Monitoring;Other;Stroop;V;RT;774,77;104,87;17;785,09;280,02;17;-0,05;0,12
Samuel (2015);1;Inhibition;Other;Simon;NV;RT;21,12;20,93;29;25,98;16,97;26;-0,25;0,07
Samuel (2015);1;Monitoring;Other;Simon;NV;RT;420,24;83,01;29;402,35;51,87;26;0,25;0,07
Samuel (2015);2;Fluency;Other;Category Fluency;V;O;16,57;4,74;19;25,68;7,32;23;-1,48;0,12
Samuel (2015);2;Fluency;Other;Letter Fluency;V;O;13,22;4,98;19;15,05;7,35;23;-0,29;0,10
Samuel (2015);2;WM;Other;Simple Span FW;V;O;7,43;1,27;19;7,53;1,07;23;-0,08;0,10
Samuel (2015);3;Inhibition;Other;Simon;NV;RT;39;17,42;19;41,52;24,42;24;-0,11;0,09
Samuel (2015);3;Monitoring;Other;Simon;NV;RT;458,43;41,49;19;487,8;48,58;24;-0,63;0,10
Scaltritti et al. (2015);1;Inhibition;Peer;Flanker;NV;RT;79;4;41;89;6;56;-1,90;0,06
Scaltritti et al. (2015);1;Monitoring;Peer;Flanker;NV;RT;489;56;41;483;83;56;0,08;0,04
Schroeder et al. (2015);1;Inhibition;Peer;Simon;NV;RT;28,68;21;65;14,47;18;43;0,71;0,04
Schroeder et al. (2015);1;Monitoring;Peer;Simon;NV;RT;459,74;76,9;65;473,41;74,25;43;-0,18;0,04
Schroeder et al. (2015);1;WM;Peer;Simple Span FW;V;O;16,12;3;65;17,55;2,46;43;-0,53;0,04
Schroeder et al. (2015);2;Inhibition;Peer;Simon;NV;RT;17,16;18,9;42;16,71;16,71;69;0,03;0,04
Schroeder et al. (2015);2;Monitoring;Peer;Simon;NV;RT;440,5;76,52;42;439,65;64,92;69;0,01;0,04
Schroeder et al. (2015);2;WM;Peer;Simple Span FW;V;O;17,47;2,76;42;17,69;1,54;69;-0,09;0,04
Smithson & Nicoladis (2015);1;WM;Peer;Complex Span;V;O;19,13;4,92;23;19,83;4,04;24;-0,15;0,09
Smithson & Nicoladis (2015);1;WM;Peer;SimpleSpan;NV;O;27,29;7,94;23;30,7;6,24;24;-0,47;0,09
Tao et al. (2015);1;Fluency;Peer;Category Fluency;V;O;20,9;4,6;60;25;12,5;80;-0,46;0,03
Tao et al. (2015);1;Fluency;Peer;Letter Fluency;V;O;39,3;9,3;60;43,5;11,6;80;-0,40;0,03
Tao et al. (2015);1;Inhibition;Peer;Stroop;V;RT;15,2;6,6;60;15,7;6,3;80;-0,08;0,03
Tao et al. (2015);1;Shifting;Peer;Trail Making;V;O;2,5;0,9;60;2,4;0,7;80;0,13;0,03
Tao et al. (2015);2;Fluency;Peer;Category Fluency;V;O;23,6;4,6;60;25;12,5;80;-0,16;0,03
Tao et al. (2015);2;Fluency;Peer;Letter Fluency;V;O;47,9;11,1;60;43,5;11,6;80;0,39;0,03
Tao et al. (2015);2;Inhibition;Peer;Stroop;V;RT;15,2;6,6;60;14,6;6,7;80;0,09;0,03
Tao et al. (2015);2;Shifting;Peer;Trail Making;V;O;2,5;0,9;60;2,5;0,9;80;0,00;0,03
Tran et al. (2015);1;Fluency;Other;Category Fluency;V;O;23,3;6,2;59;24,4;6;56;-0,18;0,03
Tran et al. (2015);1;Fluency;Other;Letter Fluency;V;O;12,3;3,5;59;13,8;4;56;-0,40;0,04
Tran et al. (2015);1;Inhibition;Other;Stroop;V;ACC;24,3;9,8;59;24,8;8,9;56;-0,05;0,03
Tran et al. (2015);1;Shifting;Other;WCST;V;O;4,7;0,6;59;4,5;0,9;56;0,26;0,04
Tran et al. (2015);1;WM;Other;LNS;V;O;11,3;2,4;59;11,4;2;56;-0,05;0,03
Tran et al. (2015);1;WM;Other;Simple Span BW;V;O;7,9;2,2;59;7;2;56;0,43;0,04
Tran et al. (2015);1;WM;Other;Simple Span FW;V;O;10,9;2,4;59;11,1;2,1;56;-0,09;0,03
Tran et al. (2015);2;Fluency;Other;Category Fluency;V;O;19,3;5,7;61;21,2;4,6;45;-0,37;0,04
Tran et al. (2015);2;Fluency;Other;Letter Fluency;V;O;12,4;3,7;61;14,4;3,6;45;-0,55;0,04
Tran et al. (2015);2;Inhibition;Other;Stroop;V;ACC;25,3;10,6;61;32;11,1;45;-0,61;0,04
Tran et al. (2015);2;Shifting;Other;WCST;V;O;3,9;1,1;61;3,6;1,2;45;0,26;0,04
Tran et al. (2015);2;WM;Other;LNS;V;O;9,2;2;61;10,2;2,7;45;-0,41;0,04
Tran et al. (2015);2;WM;Other;Simple Span BW;V;O;7,6;2,6;61;7,5;2,2;45;0,04;0,04
Tran et al. (2015);2;WM;Other;Simple Span FW;V;O;10,2;2,1;61;10,7;1,9;45;-0,25;0,04
Vega-Mendoza et al. (2015);1;Attention;Peer;TEA Selective;NV;O;94,38;11,53;18;80;22,23;16;0,78;0,13
Vega-Mendoza et al. (2015);1;Fluency;Peer;Category Fluency;V;O;69,06;15,63;18;72,72;12,2;16;-0,26;0,12
Vega-Mendoza et al. (2015);1;Fluency;Peer;Letter Fluency;V;O;52,25;11,93;18;49,67;11,09;16;0,22;0,12
Vega-Mendoza et al. (2015);1;Shifting;Peer;TEA Shifting;NV;O;93,13;10,78;18;77,22;22,44;16;0,87;0,13
Vega-Mendoza et al. (2015);2;Attention;Peer;TEA;NV;O;94,71;8,74;18;80;22,23;17;0,84;0,13
Vega-Mendoza et al. (2015);2;Fluency;Peer;Category Fluency;V;O;69,29;11,97;18;72,72;12,2;17;-0,28;0,12
Vega-Mendoza et al. (2015);2;Fluency;Peer;Letter Fluency;V;O;46,35;8,83;18;49,67;11,09;17;-0,32;0,12
Vega-Mendoza et al. (2015);2;Shifting;Peer;TEA;NV;O;82,35;21,95;18;77,22;22,44;17;0,23;0,12
Vega-Mendoza et al. (2015);3;Attention;Peer;TEA Selective;NV;O;81,25;15,19;24;68,75;16,24;32;0,79;0,08
Vega-Mendoza et al. (2015);3;Attention;Peer;TEA Sustained;NV;O;98,66;4,23;24;99,4;2,92;32;-0,20;0,07
Vega-Mendoza et al. (2015);3;Fluency;Peer;Letter Fluency;V;O;18,87;4,66;24;19,13;6,08;32;-0,05;0,07
Vega-Mendoza et al. (2015);3;Fluency;Peer;Category Fluency;V;O;27,06;4,3;24;25,96;6,03;32;0,21;0,07
Vega-Mendoza et al. (2015);3;Shifting;Peer;TEA;NV;O;66,25;17,37;24;63,75;7,7;32;0,17;0,07
Vega-Mendoza et al. (2015);4;Attention;Peer;TEA Selective;NV;O;93,78;15,52;22;83,18;19,85;37;0,61;0,08
Vega-Mendoza et al. (2015);4;Attention;Peer;TEA Sustained;NV;O;99,23;3,27;22;98,7;6,09;37;0,12;0,07
Vega-Mendoza et al. (2015);4;Fluency;Peer;Category Fluency;V;O;28,19;4,5;22;29,64;5,17;37;-0,30;0,07
Vega-Mendoza et al. (2015);4;Fluency;Peer;Letter Fluency;V;O;18,46;4,56;22;22,73;7,29;37;-0,74;0,08
Vega-Mendoza et al. (2015);4;Shifting;Peer;TEA;NV;O;87,84;14,17;22;73,18;22,76;37;0,81;0,08
Vinerte & Sabourin (2015);1;Attention;Other;Flanker Alerting;NV;RT;45,63;22,51;20;43,96;23,62;24;0,07;0,09
Vinerte & Sabourin (2015);1;Attention;Other;Flanker;NV;RT;20,76;0,97;20;22,25;16,93;24;-0,10;0,09
Vinerte & Sabourin (2015);1;Inhibition;Other;Flanker;NV;RT;62,57;33,7;20;54,08;19,14;24;0,31;0,09
Vinerte & Sabourin (2015);2;Attention;Other;Flanker Alerting;NV;RT;20,76;0,97;20;31,76;19,59;21;-0,65;0,10
Vinerte & Sabourin (2015);2;Attention;Other;Flanker;NV;RT;45,63;22,51;20;41,4;22,86;21;0,18;0,10
Vinerte & Sabourin (2015);2;Inhibition;Other;Flanker;NV;RT;62,57;33,7;20;58,5;23,03;21;0,14;0,10
Woumans et al. (2015);1;Attention;Peer;Flanker;NV;RT;38;30;30;59;23;31;-0,78;0,07
Woumans et al. (2015);1;Fluency;Peer;Category Fluency;V;O;16,7;5,6;30;20,2;7,3;31;-0,53;0,07
Woumans et al. (2015);1;Inhibition;Peer;Flanker;NV;RT;93;45;30;81;16;31;0,35;0,07
Woumans et al. (2015);1;Inhibition;Peer;Simon;NV;RT;38;18;30;27;15;31;0,66;0,07
Woumans et al. (2015);1;Monitoring;Peer;Flanker;NV;RT;566;64;30;537;46;31;0,52;0,07
Woumans et al. (2015);1;Monitoring;Peer;Simon;NV;RT;402;64;30;428;48;31;-0,45;0,07
Woumans et al. (2015);2;Attention;Peer;Flanker;NV;RT;38;30;30;48;19;34;-0,40;0,06
Woumans et al. (2015);2;Fluency;Peer;Category Fluency;V;O;17,7;6,1;30;20,2;7,3;34;-0,37;0,06
Woumans et al. (2015);2;Inhibition;Peer;Flanker;NV;RT;93;45;30;88;26;34;0,14;0,06
Woumans et al. (2015);2;Inhibition;Peer;Simon;NV;RT;38;18;30;29;12;34;0,59;0,07
Woumans et al. (2015);2;Monitoring;Peer;Flanker;NV;RT;566;64;30;518;60;34;0,77;0,07
Woumans et al. (2015);2;Monitoring;Peer;Simon;NV;RT;402;64;30;407;54;34;-0,08;0,06
Woumans et al. (2015);3;Attention;Peer;Flanker;NV;RT;38;30;30;65;23;28;-0,99;0,08
Woumans et al. (2015);3;Fluency;Peer;Category Fluency;V;O;18,2;4,4;30;20,2;7,3;28;-0,32;0,07
Woumans et al. (2015);3;Inhibition;Peer;Flanker;NV;RT;93;45;30;91;34;28;0,05;0,07
Woumans et al. (2015);3;Inhibition;Peer;Simon;NV;RT;38;18;30;28;21;28;0,51;0,07
Woumans et al. (2015);3;Monitoring;Peer;Flanker;NV;RT;566;64;30;542;50;28;0,41;0,07
Woumans et al. (2015);3;Monitoring;Peer;Simon;NV;RT;402;64;30;423;38;28;-0,39;0,07
Xie & Dong (2015);1;Inhibition;Peer;Flanker;NV;RT;40,36;40,42;32;46,95;38,1;33;-0,17;0,06
Xie & Dong (2015);1;Inhibition;Peer;Stroop;V;RT;-9,25;70,54;31;-9,44;53,26;32;0,00;0,06
Xie & Dong (2015);1;Monitoring;Peer;Flanker;NV;RT;556,4;92,96;32;549,43;85,75;33;0,08;0,06
Xie & Dong (2015);1;Monitoring;Peer;Stroop;V;RT;709,15;99,75;31;728,48;100,22;32;-0,19;0,06
Xie & Dong (2015);1;Shifting;Peer;WCST;V;O;54,4;15,4;32;36,8;14,6;33;1,16;0,07
Xie & Dong (2015);2;Inhibition;Peer;Flanker;NV;RT;40,36;40,42;32;43,79;22,88;28;-0,10;0,07
Xie & Dong (2015);2;Inhibition;Peer;Stroop;V;RT;-9,25;70,54;31;10,59;42,14;25;-0,33;0,07
Xie & Dong (2015);2;Monitoring;Peer;Flanker;NV;RT;556,4;92,96;32;489,07;51,55;28;0,87;0,07
Xie & Dong (2015);2;Monitoring;Peer;Stroop;V;RT;709,15;99,75;31;661,38;72,33;25;0,53;0,07
Xie & Dong (2015);2;Shifting;Peer;WCST;V;O;54,4;15,4;32;37,7;16,1;30;1,05;0,07
Yang (2015);1;Inhibition;Other;Simon;NV;RT;39,82;29,23;20;30,51;36,41;20;0,28;0,10
Yang (2015);1;Monitoring;Other;Simon;NV;RT;423,94;87,44;20;421,02;65,3;20;0,04;0,10
Yang (2015);1;Shifting;Other;WCST;V;O;12;4,23;20;9,05;2,68;20;0,82;0,11
Yang (2015);1;WM;Other;Simple Span;NV;O;75,35;24,15;20;78,65;21,52;20;-0,14;0,10
Yang (2015);1;WM;Other;Simple Span BW;V;O;8,99;1,1;20;7,97;1,24;20;0,85;0,11
Yang (2015);1;WM;Other;Simple Span BW;V;O;8,5;1,1;20;7,6;1,04;20;0,82;0,11
Yang (2015);1;WM;Other;Simple Span FW;V;O;9;1,16;20;8,6;1,18;20;0,34;0,10
Yang (2015);1;WM;Other;Simple Span FW;V;O;9,6;1,19;20;8,82;1,23;20;0,63;0,11
Yang (2015);2;Inhibition;Other;Simon;NV;RT;39,82;29,23;20;26,22;28,73;20;0,46;0,10
Yang (2015);2;Monitoring;Other;Simon;NV;RT;423,94;87,44;20;395,71;34,74;20;0,42;0,10
Yang (2015);2;Shifting;Other;WCST;V;O;12;4,23;20;9,25;3,54;20;0,69;0,11
Yang (2015);2;WM;Other;Simple Span;NV;O;85,3;26,49;20;78,65;21,52;20;0,27;0,10
Yang (2015);2;WM;Other;Simple Span BW;V;O;7,25;1,26;20;7,6;1,04;20;-0,30;0,10
Yang (2015);2;WM;Other;Simple Span BW;V;O;7,68;1,45;20;7,97;1,24;20;-0,21;0,10
Yang (2015);2;WM;Other;Simple Span FW;V;O;7,97;1,18;20;8,6;1,18;20;-0,52;0,10
Yang (2015);2;WM;Other;Simple Span FW;V;O;8,21;1,59;20;8,82;1,23;20;-0,42;0,10
Yang & Yang (2015);1;WM;Peer;Complex Span;V;ACC;;;25;;;12;0,01;0,13
Yang & Yang (2015);1;WM;Peer;Complex Span;V;ACC;;;25;;;12;-0,18;0,12
Yang & Yang (2015);2;WM;Peer;Complex Span;V;ACC;;;25;;;14;0,35;0,12
Blumenfeld et al. (2016);1;WM;Peer;Simple Span FW;V;O;17,9;2,32;15;18,2;1,94;15;-0,14;0,13
Blumenfeld et al. (2016);2;WM;Peer;Simple Span FW;V;O;16,3;3,1;15;16,8;3,49;15;-0,15;0,13
Brito et al. (2016);1;Monitoring;Peer;Task Switching;V;RT;620;168;32;659;167;28;-0,23;0,07
Brito et al. (2016);1;Shifting;Peer;Task Switching;V;RT;338;289,41;32;344;287,36;28;-0,02;0,07
Brito et al. (2016);2;Monitoring;Peer;Task Switching;V;RT;620;168;32;594;192;40;0,14;0,06
Brito et al. (2016);2;Shifting;Peer;Task Switching;V;RT;338;289,41;32;347;325,71;40;-0,03;0,06
Coderre et al. (2016);1;Inhibition;Peer;Flanker;NV;RT;42;21,6;15;51;32,5;14;-0,32;0,14
Coderre et al. (2016);1;Inhibition;Peer;Flanker;V;RT;20;18,9;15;12,7;20,7;14;0,36;0,14
Coderre et al. (2016);1;Monitoring;Peer;Flanker;NV;RT;448,3;44,1;15;478,5;64,6;14;-0,53;0,14
Coderre et al. (2016);1;Monitoring;Peer;Flanker;V;RT;442,7;45,5;15;471,9;58,6;14;-0,54;0,14
Coderre et al. (2016);1;WM;Peer;Simple Span FW;V;O;6,8;0,4;15;7,6;0,3;14;-2,20;0,23
Delcenserie & Genesee (2016);1;WM;Peer;Complex Span;V;O;9,53;1,19;15;3,93;1,28;15;4,41;0,50
Delcenserie & Genesee (2016);1;WM;Peer;Simple Span BW;NV;O;11,53;1,81;15;8,2;0,86;15;2,29;0,23
Delcenserie & Genesee (2016);1;WM;Peer;Simple Span BW;V;O;45,8;7,48;15;25,73;8,67;15;2,41;0,24
Delcenserie & Genesee (2016);1;WM;Peer;Simple Span FW;NV;O;10,53;1,77;15;8,93;1,33;15;0,99;0,15
Delcenserie & Genesee (2016);1;WM;Peer;Simple Span FW;V;O;63,87;10,48;15;53,8;10,68;15;0,93;0,15
Delcenserie & Genesee (2016);2;WM;Peer;Complex Span;V;O;6,87;3,02;15;3,93;1,28;15;1,23;0,16
Delcenserie & Genesee (2016);2;WM;Peer;Simple Span BW;NV;O;10,03;1,84;15;8,2;0,86;15;1,24;0,16
Delcenserie & Genesee (2016);2;WM;Peer;Simple Span BW;V;O;36,2;10,18;15;25,73;8,67;15;1,08;0,16
Delcenserie & Genesee (2016);2;WM;Peer;Simple Span FW;NV;O;10,33;2,38;15;8,93;1,33;15;0,71;0,14
Delcenserie & Genesee (2016);2;WM;Peer;Simple Span FW;V;O;58,6;10,12;15;53,8;10,68;15;0,45;0,14
Delcenserie & Genesee (2016);3;WM;Peer;Complex Span;V;O;6,73;2,66;15;3,93;1,28;15;1,31;0,17
Delcenserie & Genesee (2016);3;WM;Peer;Simple Span BW;NV;O;9,73;1,28;15;8,2;0,86;15;1,37;0,17
Delcenserie & Genesee (2016);3;WM;Peer;Simple Span BW;V;O;36,47;9,41;15;25,73;8,67;15;1,15;0,16
Delcenserie & Genesee (2016);3;WM;Peer;Simple Span FW;NV;O;10,33;2,38;15;8,93;1,33;15;0,71;0,14
Delcenserie & Genesee (2016);3;WM;Peer;Simple Span FW;V;O;58,23;10,12;15;53,8;10,68;15;0,41;0,14
Duncan et al. (2016);1;Inhibition;Peer;Simon;NV;RT;36;42,17;22;32;31,51;19;0,10;0,10
Duncan et al. (2016);1;Monitoring;Peer;Simon;NV;RT;429;50,42;22;393;49,87;19;0,70;0,10
Duncan et al. (2016);1;Shifting;Peer;Trail Making;V;RT;13;9,1;22;11;10,59;19;0,20;0,10
Duncan et al. (2016);1;WM;Peer;LNS;V;O;14,79;2,88;22;14,09;3,14;19;0,23;0,10
Folke et al. (2016);1;WM;Peer;Simple Span;V;O;16,03;3,73;31;17,97;4,85;31;-0,44;0,07
Incera Burkert (2016);1;Inhibition;Other;Flanker;NV;RT;169;109;73;184;59;73;-0,17;0,03
Incera Burkert (2016);1;Inhibition;Other;Stroop;V;RT;256;39;76;258;37;81;-0,05;0,03
Incera Burkert (2016);1;Monitoring;Other;Flanker;NV;RT;1210;385;76;1172;302;81;0,11;0,03
Incera Burkert (2016);1;Monitoring;Other;Stroop;V;RT;1290;385;76;1257;355;81;0,09;0,03
Incera Burkert (2016);2;Inhibition;Other;Flanker;NV;RT;123;142;9;209;41;9;-0,78;0,24
Incera Burkert (2016);2;Inhibition;Other;Stroop;V;RT;409;100;13;432;148;10;-0,18;0,18
Incera Burkert (2016);2;Monitoring;Other;Flanker;NV;RT;1534;306;13;1813;412;10;-0,76;0,19
Incera Burkert (2016);2;Monitoring;Other;Stroop;V;RT;1741;451;13;1949;443;10;-0,45;0,18
Johns et al. (2016);1;Inhibition;Peer;Stroop;V;RT;54,14;11,38;21;51,89;7,15;21;0,23;0,10
Johns et al. (2016);1;Fluency;Peer;Category Fluency;V;O;24,57;5,69;21;26,29;5,32;21;-0,31;0,10
Johns et al. (2016);1;Fluency;Peer;Letter Fluency;V;O;37,04;9,86;21;40,38;14,06;21;-0,27;0,10
Johns et al. (2016);1;Shifting;Peer;WCST;V;O;4,58;1,03;21;4,33;1,2;21;0,22;0,10
Johns et al. (2016);1;WM;Peer;Simple Span FW;V;O;11,07;2,28;21;10,9;1,61;21;0,08;0,10
Johns et al. (2016);1;WM;Peer;Simple Span BW;V;O;7,68;2,45;21;6,71;1,98;21;0,43;0,10
Johns et al. (2016);2;Inhibition;Peer;Stroop;V;RT;34,74;7,4;16;36,57;9,07;28;-0,21;0,10
Johns et al. (2016);2;Fluency;Peer;Category Fluency;V;O;18,81;4,64;16;21,47;5,87;28;-0,51;0,10
Johns et al. (2016);2;Fluency;Peer;Letter Fluency;V;O;40,43;10,42;16;43,4;7,43;28;-0,31;0,10
Johns et al. (2016);2;Shifting;Peer;WCST;V;O;3,67;1,11;16;3,93;0,96;28;-0,24;0,10
Johns et al. (2016);2;WM;Peer;Simple Span FW;V;O;9,81;1,91;16;11;1,56;28;-0,65;0,10
Johns et al. (2016);2;WM;Peer;Simple Span BW;V;O;6,81;1,94;16;7,8;2,68;28;-0,44;0,10
Kerrigan et al. (2016);1;WM;Peer;LNS;V;O;32,6;9,6;30;28,7;6,9;30;0,46;0,07
Kerrigan et al. (2016);1;WM;Peer;Simple Span;V;O;33,8;10;30;32,1;9,9;30;0,17;0,07
Kerrigan et al. (2016);1;WM;Peer;Simple Span BW;NV;O;19,8;3;30;17,8;3;30;0,66;0,07
Kerrigan et al. (2016);1;WM;Peer;Simple Span FW;NV;O;20,9;3,2;30;18,4;3;30;0,80;0,07
Rosselli et al. (2016);1;Inhibition;Peer;Simon;NV;RT;413,4;773,7;20;582;902;20;-0,20;0,10
Rosselli et al. (2016);1;Inhibition;Peer;Stroop;V;RT;78,6;72,9;20;92,1;51,7;20;-0,21;0,10
Rosselli et al. (2016);1;WM;Peer;Simple Span BW;V;O;6,2;1,1;20;6,3;1,4;20;-0,08;0,10
Rosselli et al. (2016);1;WM;Peer;Simple Span FW;NV;O;6;1;20;5,9;1;20;0,10;0,10
Rosselli et al. (2016);1;WM;Peer;Simple Span FW;V;O;6,7;1,2;20;6,7;1,1;20;0,00;0,10
Rosselli et al. (2016);2;Inhibition;Peer;Simon;NV;RT;646,3;790,3;20;1204;920,9;20;-0,64;0,11
Rosselli et al. (2016);2;Inhibition;Peer;Stroop;V;RT;92,9;71,3;20;150,1;106,1;20;-0,62;0,11
Rosselli et al. (2016);2;WM;Peer;Simple Span BW;V;O;4,9;1;20;5,7;1,5;20;-0,62;0,11
Rosselli et al. (2016);2;WM;Peer;Simple Span FW;NV;O;5,6;0,7;20;5,4;0,9;20;0,24;0,10
Rosselli et al. (2016);2;WM;Peer;Simple Span FW;V;O;5,8;1;20;6,9;1,3;20;-0,93;0,11
Rosselli et al. (2016);3;Inhibition;Peer;Simon;NV;RT;646,3;790,3;20;865,2;898,6;34;-0,25;0,08
Rosselli et al. (2016);3;Inhibition;Peer;Stroop;V;RT;92,9;71,3;20;105,6;85;34;-0,16;0,08
Rosselli et al. (2016);3;WM;Peer;Simple Span BW;V;O;4,9;1,2;20;5,7;1,5;34;-0,60;0,08
Rosselli et al. (2016);3;WM;Peer;Simple Span FW;NV;O;5,7;0,8;20;5,4;0,9;34;0,35;0,08
Rosselli et al. (2016);3;WM;Peer;Simple Span FW;V;O;6,1;1,4;20;6,9;1,3;34;-0,58;0,08
Shulley & Shake (2016);1;Attention;Peer;SART;V;ACC;0,57;0,16;49;0,56;0,13;49;0,07;0,04
Shulley & Shake (2016);1;Inhibition;Peer;Stroop;V;RT;89,62;29,78;51;91,78;43,68;51;-0,06;0,04
Shulley & Shake (2016);1;Monitoring;Peer;Stroop;V;RT;560,23;79,03;51;603,83;100,26;51;-0,48;0,04
Shulley & Shake (2016);1;Monitoring;Peer;Task Switching;V;RT;855,7;136,89;50;988,5;223,08;51;-0,71;0,04
Shulley & Shake (2016);1;WM;Peer;Complex Span;V;ACC;20,51;2,71;50;21;2,24;50;-0,20;0,04
Shulley & Shake (2016);1;Shifting;Peer;Task Switching;V;RT;203,77;73,39;50;236,26;103,27;51;-0,36;0,04
Wu et al. (2016);1;Inhibition;Peer;Flanker;NV;RT;26,06;13,01;20;27,67;14,53;19;-0,11;0,10
Wu et al. (2016);1;Monitoring;Peer;Flanker;NV;RT;492,05;70,67;20;481,62;60,67;19;0,15;0,10
Wu et al. (2016);1;WM;Peer;Complex Span;V;ACC;48,89;7,08;20;51,95;5,62;19;-0,47;0,11
Yang & Yang (2016);1;Attention;Peer;Flanker Alerting;NV;RT;36;22;19;45;17;20;-0,45;0,11
Yang & Yang (2016);1;Attention;Peer;Flanker;NV;RT;44;19;19;28;15;20;0,92;0,11
Yang & Yang (2016);1;Inhibition;Peer;Flanker;NV;RT;133;35;19;96;23;20;1,23;0,12
Yang & Yang (2016);1;Monitoring;Peer;Flanker;NV;RT;481;50;19;450;49;20;0,61;0,11